mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/4	2	2	1/4	1/4	1		4	52		14
1	1	0	0	4/4	2	1	1/4	1/4	1		4	64		9
1	1	0	0	4/4	1	2	1/4	1/4	1		1	67		4
1	1	0	0	4/4	1	1	1/4	1/4	1		5	71		0
1	1	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50		15
1	1	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59		10
1	1	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66		5
1	1	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71		1
1	1	1/2	1/2	4/4	2	2	3/8	1/4	3/2		0	48		16
1	1	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60		11
1	1	1/2	1/2	4/4	1	2	1/8	1/8	1		4	64		6
1	1	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69		2
1	1	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54		12
1	1	5/8	5/8	4/4	1	2	1/8	1/8	1		9	63		7
1	1	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55		13
1	1	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64		8
1	1	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67		3
1	1	7/8	7/8	4/4	2	2	1/8	1/8	1		5	47		17
2	2	0	0	4/4	2	2	1/4	1/4	1		3	45		27
2	2	0	0	4/4	2	1	1/4	1/4	1		0	60		23
2	2	0	0	4/4	1	2	1/4	1/4	1		4	64		20
2	2	0	0	4/4	1	1	1/2	1/2	1		6	66		18
2	2	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47		28
2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59		24
2	2	1/4	1/4	4/4	1	2	1/4	1/4	1		9	63		21
2	2	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57		25
2	2	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52		29
2	2	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55		26
2	2	1/2	1/2	4/4	1	2	1/2	1/2	1		5	59		22
2	2	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64		19
3	3	0	0	4/4	2	2	1/4	1/4	1		4	52		46
3	3	0	0	4/4	2	1	1/8	1/8	1		4	64		39
3	3	0	0	4/4	1	2	1/8	1/8	1		1	67		34
3	3	0	0	4/4	1	1	1/4	1/4	1		5	71		30
3	3	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62		40
3	3	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66		35
3	3	1/4	1/4	4/4	2	2	1/8	1/8	1		3	57		47
3	3	1/4	1/4	4/4	2	1	1/8	1/8	1		7	61		41
3	3	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64		36
3	3	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73		31
3	3	3/8	3/8	4/4	2	2	1/8	1/8	1		1	55		48
3	3	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59		42
3	3	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54		49
3	3	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57		43
3	3	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62		37
3	3	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74		32
3	3	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55		44
3	3	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55		50
3	3	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62		38
3	3	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71		33
3	3	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54		51
3	3	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57		45
4	4	0	0	4/4	2	2	1/8	1/8	1		4	52		61
4	4	0	0	4/4	2	1	1/4	1/4	1		5	59		58
4	4	0	0	4/4	1	2	1/8	1/8	1		1	67		54
4	4	0	0	4/4	1	1	1/2	1/2	1		4	76		52
4	4	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54		62
4	4	1/8	1/8	4/4	1	2	1/8	1/8	1		3	69		55
4	4	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55		63
4	4	1/4	1/4	4/4	2	1	1/4	1/4	1		1	67		59
4	4	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71		56
4	4	3/8	3/8	4/4	2	2	1/8	1/8	1		3	57		64
4	4	1/2	1/2	4/4	2	2	1/2	1/2	1		5	59		65
4	4	1/2	1/2	4/4	2	1	1/2	1/2	1		6	66		60
4	4	1/2	1/2	4/4	1	2	1/2	1/2	1		5	71		57
