mc	mn	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-4	4/4	1/4	3/4					firstMeasure	2
2	2	-4	4/4	1	0						3
3	3	-4	4/4	1	0						4
4	4	-4	4/4	1	0						5
5	5	-4	4/4	3/4	0				line	end	1, 6
6	6	-4	4/4	1/4	3/4						7
7	7	-4	4/4	1	0						8
8	8	-4	4/4	1	0						9
9	9	-4	4/4	1	0						10
10	10	-4	4/4	1	0				line		11
11	11	-4	4/4	1	0						12
12	12	-4	4/4	1	0						13
13	13	-4	4/4	1	0						14
14	14	-4	4/4	1	0						15
15	15	-4	4/4	1	0				line		16
16	16	-4	4/4	1	0						17
17	17	-4	4/4	1	0						18
18	18	-4	4/4	1	0						19
19	19	-4	4/4	3/4	0				line	lastMeasure	-1
